2026-07-07 10:44:40 | INFO     | sciparser | Database tables checked/created successfully.
2026-07-07 10:44:40 | INFO     | sciparser | Initializing multi-agent orchestrator system...
2026-07-07 10:44:45 | INFO     | sciparser | Multi-agent orchestrator initialization complete.
2026-07-07 10:44:45 | INFO     | sciparser | APScheduler: registered 0 active schedule(s).
2026-07-07 10:45:58 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 10:46:03 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches "HTTP/1.1 201 Created"
2026-07-07 10:46:06 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-07 10:46:17 | INFO     | root | OpenAI API usage: {'prompt_tokens': 829, 'completion_tokens': 506, 'total_tokens': 1335, 'cached_prompt_tokens': 0, 'reasoning_tokens': 463}
2026-07-07 10:46:17 | INFO     | sciparser | [Memory] Injecting 793 chars for domain 'general'
2026-07-07 10:46:17 | INFO     | sciparser | Preparing MCP manager for user 9638739e-d981-4870-91ca-8f24f4c8157c on port 51558...
2026-07-07 10:46:17 | INFO     | src.agents.mcp_agent | >>> Loaded 1 additional MCP server(s) from mcp_servers.json: ['camoufox']
2026-07-07 10:46:17 | INFO     | src.agents.mcp_agent | >>> Starting MCP Server connecting to http://localhost:51558...
2026-07-07 10:46:20 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/0e3a0262-997d-41c5-a90d-81f4976143db/events "HTTP/1.1 200 OK"
2026-07-07 10:46:22 | INFO     | httpx | HTTP Request: PATCH https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/0e3a0262-997d-41c5-a90d-81f4976143db/finalize "HTTP/1.1 200 OK"
2026-07-07 10:46:22 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 10:47:11 | INFO     | src.agents.mcp_agent | >>> MCP Session Ready. 58 tools active.
2026-07-07 10:47:11 | INFO     | sciparser | Discovered 58 tools for execution.
2026-07-07 10:47:12 | INFO     | sciparser | Starting raw-CDP screenshot stream: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 port=51558
2026-07-07 10:47:12 | INFO     | sciparser | Executing via MCP Tool Graph (Attempt 1)...
2026-07-07 10:47:13 | INFO     | sciparser | Broadcasting browser frame: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 len=39267
2026-07-07 10:47:13 | INFO     | sciparser | broadcast_frame: user=9638739e connections=1 frame_len=39267
2026-07-07 10:47:14 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches "HTTP/1.1 201 Created"
2026-07-07 10:47:16 | INFO     | sciparser | Broadcasting browser frame: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 len=39267
2026-07-07 10:47:16 | INFO     | sciparser | broadcast_frame: user=9638739e connections=1 frame_len=39267
2026-07-07 10:47:16 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-07 10:47:18 | INFO     | sciparser | Broadcasting browser frame: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 len=39267
2026-07-07 10:47:18 | INFO     | sciparser | broadcast_frame: user=9638739e connections=1 frame_len=39267
2026-07-07 10:47:21 | INFO     | sciparser | Broadcasting browser frame: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 len=39267
2026-07-07 10:47:21 | INFO     | sciparser | broadcast_frame: user=9638739e connections=1 frame_len=39267
2026-07-07 10:47:24 | INFO     | sciparser | Broadcasting browser frame: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 len=39267
2026-07-07 10:47:24 | INFO     | sciparser | broadcast_frame: user=9638739e connections=1 frame_len=39267
2026-07-07 10:47:28 | INFO     | sciparser | Broadcasting browser frame: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 len=39267
2026-07-07 10:47:28 | INFO     | sciparser | broadcast_frame: user=9638739e connections=1 frame_len=39267
2026-07-07 10:47:31 | INFO     | sciparser | Broadcasting browser frame: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-97ca1cad-7b0f-43e4-9ba8-7c2e0b917b65 len=39267
